"[93, 87], [71, 94], [70, 97], [70, 97], [68, 98], [65, 98], [65, 98], [65, 98], [65, 98], [64, 100], [63, 103], [63, 103], [62, 103], [61, 104], [61, 105], [61, 105], [61, 105], [60, 107], [59, 108], [57, 108], [57, 108], [56, 110], [56, 110], [56, 110], [56, 110], [54, 111], [54, 111], [54, 111], [54, 111], [54, 111], [54, 111], [53, 113], [53, 113], [53, 113], [53, 113], [52, 114], [52, 115], [52, 115], [52, 115], [52, 115], [52, 115], [51, 116], [51, 116], [50, 116], [49, 116], [49, 116], [48, 116], [48, 116], [48, 116], [48, 116], [47, 116], [47, 116], [47, 116], [47, 116], [46, 116], [45, 117], [45, 117], [45, 117], [45, 117], [45, 117], [45, 117], [45, 117], [43, 119], [43, 119], [43, 119], [43, 119], [43, 119], [43, 119], [42, 119], [42, 119], [42, 119], [41, 119], [41, 119], [41, 119], [41, 119], [39, 120], [39, 121], [38, 121], [38, 121], [38, 121], [38, 121], [38, 121], [38, 121], [38, 121], [38, 121], [38, 121], [35, 123], [35, 123], [32, 127], [32, 127], [34, 127], [33, 128], [33, 128], [33, 128], [33, 128], [31, 128], [31, 128], [31, 128], [30, 128], [30, 128], [30, 128]"
"[73, 37], [65, 37], [65, 37], [65, 37], [64, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [63, 37], [62, 37], [62, 37], [62, 37], [62, 37], [62, 37], [62, 37], [62, 37], [61, 38], [61, 38], [61, 38], [61, 38], [61, 38], [61, 38], [61, 38], [61, 38], [60, 38], [60, 38], [60, 38], [60, 38], [60, 38], [60, 38], [59, 38], [59, 38], [59, 38], [58, 38], [58, 38], [58, 38], [58, 38], [58, 38], [58, 38], [57, 38], [57, 38], [57, 38], [56, 39], [56, 39], [56, 39], [56, 39], [56, 39], [56, 39], [56, 39], [56, 39], [55, 39], [53, 39], [53, 39], [53, 39], [53, 39], [53, 39], [53, 39], [53, 39], [52, 39], [52, 39], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [52, 40], [51, 40], [51, 40], [51, 40], [52, 40], [52, 40], [52, 40], [52, 40], [51, 41], [51, 41], [50, 41], [49, 41], [49, 42], [49, 43], [49, 43], [49, 44]"
"[43, 57], [36, 57], [36, 57], [36, 57], [36, 57], [34, 58], [34, 58], [34, 58], [34, 58], [34, 58], [34, 58], [34, 58], [34, 58], [34, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [33, 58], [31, 58], [31, 58], [31, 58], [31, 58], [31, 58], [31, 58], [30, 60], [30, 60], [30, 60], [30, 60], [29, 60], [29, 60], [29, 60], [29, 60], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [28, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [27, 62], [26, 63], [26, 63], [26, 63], [26, 64], [26, 64], [26, 64], [26, 64], [26, 64], [26, 64], [26, 64], [26, 64], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [25, 65], [24, 66], [24, 66], [24, 66]"
"[99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [99, 4], [98, 4], [98, 4], [98, 4], [98, 4], [98, 4], [98, 4], [98, 4], [98, 4], [97, 4], [97, 4], [97, 4], [97, 4], [97, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 4], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [96, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5], [106, 5]"
"[88, 20], [81, 20], [81, 20], [81, 20], [80, 20], [79, 20], [79, 20], [79, 20], [79, 20], [79, 20], [79, 20], [79, 20], [79, 20], [78, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [76, 20], [75, 20], [75, 20], [75, 20], [75, 20], [75, 20], [75, 20], [75, 20], [75, 20], [75, 20], [74, 20], [74, 20], [74, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [73, 20], [72, 20], [72, 20], [72, 20], [72, 20], [72, 20], [72, 20], [71, 20], [71, 20], [71, 20], [71, 20], [70, 20], [70, 20], [69, 20], [69, 20], [69, 20], [69, 20], [69, 20], [79, 20], [79, 20], [78, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [77, 20], [76, 20], [75, 20], [74, 20]"
"[60, 14], [60, 14], [60, 14], [60, 14], [60, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [57, 14], [56, 14], [56, 14], [56, 14], [56, 14], [56, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [55, 14], [59, 14], [59, 14], [59, 14], [59, 14], [59, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14], [58, 14]"
"[87, 32], [75, 34], [75, 35], [75, 35], [74, 35], [73, 35], [73, 35], [72, 35], [72, 35], [72, 35], [71, 36], [71, 36], [71, 36], [70, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [69, 36], [68, 36], [68, 36], [68, 36], [68, 36], [67, 36], [67, 36], [67, 36], [67, 36], [67, 36], [66, 36], [66, 36], [66, 36], [66, 36], [66, 36], [65, 36], [65, 36], [65, 36], [65, 36], [64, 37], [63, 37], [63, 37], [63, 37], [62, 37], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [61, 39], [60, 39], [60, 39], [59, 39], [59, 40], [59, 40], [59, 40], [59, 40], [59, 40], [58, 42], [58, 42], [57, 42], [57, 42], [57, 44], [57, 44], [57, 44], [56, 44], [55, 44], [55, 44], [55, 44], [54, 46], [54, 46], [54, 46], [54, 46], [54, 46], [54, 46], [54, 46], [58, 46], [57, 47], [57, 47], [57, 47], [57, 47], [56, 51], [56, 51], [56, 51], [56, 51], [55, 51], [55, 51], [55, 51], [54, 51], [53, 53], [53, 53], [53, 53], [53, 53]"
"[32, 31], [29, 31], [29, 31], [29, 31], [29, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [28, 31], [27, 31], [27, 31], [27, 31], [26, 31], [26, 31], [26, 31], [25, 32], [25, 32], [23, 32], [23, 32], [23, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32], [22, 32]"
"[73, 52], [60, 55], [59, 55], [59, 55], [58, 55], [57, 55], [57, 55], [56, 57], [56, 57], [56, 57], [55, 58], [55, 58], [55, 58], [55, 58], [55, 58], [55, 58], [55, 58], [55, 58], [55, 58], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [53, 59], [52, 59], [51, 59], [51, 59], [50, 60], [50, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 60], [49, 62], [49, 62], [49, 62], [49, 62], [48, 63], [48, 63], [48, 63], [48, 63], [47, 63], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [47, 65], [46, 65], [46, 66], [46, 66], [46, 66], [46, 66], [46, 66], [46, 66], [46, 66], [45, 66], [45, 66], [45, 66], [45, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66], [44, 66]"
"[45, 70], [36, 72], [36, 72], [36, 72], [35, 72], [33, 73], [33, 73], [32, 75], [32, 75], [32, 75], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [31, 76], [30, 77], [30, 77], [30, 77], [30, 77], [30, 77], [30, 77], [30, 79], [30, 79], [30, 79], [30, 79], [30, 80], [30, 80], [30, 80], [30, 80], [30, 80], [30, 80], [30, 80], [30, 80], [29, 80], [29, 80], [29, 80], [29, 80], [28, 80], [28, 80], [28, 80], [28, 80], [28, 80], [28, 80], [27, 80], [27, 80], [27, 80], [27, 80], [27, 81], [27, 82], [27, 82], [27, 82], [26, 84], [26, 84], [26, 84], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 85], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [24, 86], [26, 86], [26, 86], [26, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [25, 86], [24, 88], [24, 88], [23, 88], [22, 88], [22, 88], [22, 88], [22, 88]"
